page,title,url
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,🎬看比賽拿好禮🎤【2025 第四屆臺大英語創意配音比賽🎖️】,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=2025M100_06
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,【114-1 夥伴教師輔導知能講座】,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20251324_04
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,【工學博物館】《造山者－世紀的賭注》觀影暨映後座談會活動,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20255502_01
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114年度校總區用電及消防安全講習,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20251405_01
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,英語口說強化工作坊,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20255161_09
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114年11月28日(五)「九價子宮頸疫苗」實體與線上衛教講座,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20251325_26
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114-1 學務處校園安全中心X校園霸凌防制委員會心理健康促進系列活動（總校區）,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=2025N100_04
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,管理學院 EMI 課程教學分享：大學部課程,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20255785_01
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,2025職業衛生講座(九)：逆流而上：胃食道逆流的預防、檢查,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20252400_11
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114/11/26、27 基本救命術BLS訓練,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20251325_15
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114年11月25日(二)「認識肺結核」實體和線上衛教講座,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20251325_25
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114年「電子郵件社交工程演練」教育訓練,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20252204_07
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,20251124_肺癌篩檢與治療新趨勢,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=2025E500_08
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114年度緊急應變教育訓練暨急救人員再教育講習,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20252400_10
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114學年度 (76屆) 全校運動會田徑賽--團體競賽 (大隊接力、拔河),https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20253704_04
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114學年度 (76屆) 全校運動會田徑賽--趣味競賽,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20253704_05
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114學年度 (76屆) 全校運動會田徑賽-女學生組,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20253704_06
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114學年度 (76屆) 全校運動會田徑賽-男學生組,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20253704_02
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114學年度 (76屆) 全校運動會田徑賽-校友暨臺大之友組,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20253704_18
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114學年度 (76屆) 全校運動會田徑賽--四人接力賽,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20253704_03
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114學年度 (76屆) 全校運動會田徑賽-教職員工甲組,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20253704_19
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114學年度 (76屆) 全校運動會田徑賽-教職員工乙組,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20253704_20
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114學年度 (76屆) 全校運動會田徑賽-教職員工丙組,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20253704_21
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114-1 FLTC Book Fair: 逛書展，拿好書！,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20255161_12
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,【活動】學術英文講座系列：學術英文寫作攻略！,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20251911_04
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,越南文系列講座—聽見東南亞的新故事，感受文化交流的力量,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20255161_10
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,【職涯中心】赴美攻略Get | 看懂美國產業人才趨勢&留學政策！,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20251304_12
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,文化產業的職涯想像,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20255100_12
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114-1 FLTC 英語小聚,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20255161_11
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,【114-1學輔中心】學輔中心 X 心輔中心資教 『 從迷惘到可能：生涯小聚 』 工作坊,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20251326_05
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114年11月18日(二)「牙齒保健」衛教講座,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20251325_22
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114年校慶園遊會活動,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20251302_01
